danceability_ID,danceability_bins,utility,raw_utility,l2_norm,KLDiv,gpt_semantics
0,[0.  0.3 0.5 0.7 0.9 1. ],0.9999999999999999,0.9999999999999999,1.0,1.0,4.0
1,[0.  0.5 1. ],0.9999999999999999,0.9999999999999999,0.5499650868946852,0.3693353259328559,2.0
2,[0.   0.49 1.  ],0.9999999999999999,0.9999999999999999,0.5501705165100943,0.3588802469724179,1.0
3,[0.   0.64 1.  ],0.9999999999999999,0.9999999999999999,0.5431510344332111,0.529446128721889,1.0
4,[0.   0.49 0.99],0.9999999999999999,0.9999999999999999,0.5513040429850685,0.3629174579292604,1.0
5,[0.   0.64 0.99],0.9999999999999999,0.9999999999999999,0.5442504791859999,0.532928547352661,1.0
6,[0.   0.73 1.  ],0.9999999999999999,0.9999999999999999,0.5377288688509043,0.4571445730371603,1.0
8,[0.   0.21 0.67 1.  ],1.0,1.0,0.6106722702024168,0.6119536016703233,1.0
9,[0.   0.33 0.67 1.  ],1.0,1.0,0.6116261943241614,0.7056411027794601,2.0
10,[0.   0.33 0.66 1.  ],1.0,1.0,0.6119367826562542,0.6898253312546715,1.0
11,[0.   0.57 0.71 1.  ],1.0,1.0,0.6027067012207022,0.8999989822162799,1.0
12,[0.   0.33 0.66 0.99],1.0,1.0,0.6127063958271906,0.6932454978657869,1.0
13,[0.   0.57 0.71 0.99],1.0,1.0,0.6034584001231121,0.9029876871739394,1.0
14,[0.   0.2  0.73 1.  ],1.0,1.0,0.6084191492930731,0.5572917118748675,1.0
15,[0.   0.41 0.61 1.  ],1.0,1.0,0.6121201862512631,0.7810448446141537,1.0
16,[0.   0.18 0.35 0.65 1.  ],1.0,1.0,0.7132224861964669,0.7701427389859493,1.0
17,[0.   0.25 0.5  0.75 1.  ],1.0,1.0,0.7182724320688527,0.907811216001194,3.0
18,[0.   0.25 0.49 0.74 1.  ],1.0,1.0,0.7183494666403889,0.9076007710585612,1.0
19,[0.   0.53 0.64 0.75 1.  ],1.0,1.0,0.7083684418175494,0.837315842844407,1.0
20,[0.   0.25 0.49 0.74 0.99],1.0,1.0,0.7186797916862189,0.9103243941435036,1.0
21,[0.   0.53 0.64 0.75 0.99],1.0,1.0,0.7086945457064879,0.8345922197594646,1.0
22,[0.   0.2  0.49 0.73 1.  ],1.0,1.0,0.7175906228475979,0.917770339165688,1.0
23,[0.   0.36 0.54 0.69 1.  ],1.0,1.0,0.7181868666912504,0.9360422342243524,1.0
24,[0.   0.12 0.26 0.53 0.68 1.  ],0.8999999999999998,0.8999999999999998,0.8855307823640214,0.997960265615707,1.0
