loudness_ID,loudness_bins,utility,raw_utility,l2_norm,KLDiv,gpt_semantics
0,[-60. -20. -10.  -5.   0.  10.],0.09999999999999999,-0.09999999999999999,1.0,1.0,4.0
1,[-60. -25.  10.],0.9999999999999999,-0.9999999999999999,0.705928601490414,0.5738461824206875,1.0
2,[-60.   -18.59   2.  ],0.9999999999999999,0.9999999999999999,0.7935846283331172,0.6548402933024302,1.0
3,[-60.    -6.56   2.  ],0.9999999999999999,0.9999999999999999,0.7340709814169798,0.8109730178121373,1.0
4,[-60.   -18.59   1.58],0.9999999999999999,0.9999999999999999,0.7973461849606576,0.654878917489286,1.0
5,[-60.    -6.56   1.58],0.9999999999999999,0.9999999999999999,0.7369804482720059,0.8110050117581622,1.0
6,[-60.   -8.3   2. ],0.9999999999999999,0.9999999999999999,0.7474081779009444,0.8369925945878544,1.0
7,[-60.   -12.94   2.  ],0.9999999999999999,0.9999999999999999,0.776095149465299,0.7999077578636118,1.0
8,[-60.   -10.64  -8.01   2.  ],1.0,1.0,0.8055384835456332,0.9734365679845712,1.0
9,[-60.   -36.67 -13.33  10.  ],1.0,1.0,0.6893178308903848,0.7974052223489357,1.0
10,[-60.   -25.32 -11.87   2.  ],0.5,-0.5,0.831417095307036,0.8254206246194162,1.0
11,[-60.    -8.04  -5.47   2.  ],1.0,1.0,0.7783523725488654,0.9671060559771698,1.0
12,[-60.   -25.32 -11.87   1.58],0.5,-0.5,0.8340670221304575,0.8254563713839606,1.0
13,[-60.    -8.04  -5.47   1.58],1.0,1.0,0.7803611415421804,0.9671379719415528,1.0
14,[-60.   -18.91  -8.3    2.  ],0.5,0.5,0.8448656952909406,0.9074031649645112,1.0
15,[-60.   -18.82  -9.98   2.  ],0.5,0.5,0.8462233639016725,0.8707759873917905,1.0
16,[-60.   -20.81 -12.71  -8.13   2.  ],0.39999999999999997,0.39999999999999997,0.8616022986368819,0.9783755665218148,1.0
17,[-60.  -42.5 -25.   -7.5  10. ],0.5,0.5,0.6160655519787805,0.8554813799899614,1.0
18,[-60.   -28.68 -18.59  -8.5    2.  ],0.39999999999999997,-0.39999999999999997,0.795708051658337,0.9249266637602596,1.0
19,[-60.    -9.04  -6.56  -4.91   2.  ],1.0,1.0,0.8074049997546746,0.9229462683293828,1.0
20,[-60.   -28.68 -18.59  -8.5    1.58],0.39999999999999997,-0.39999999999999997,0.7962857015593875,0.9249605995464244,1.0
21,[-60.    -9.04  -6.56  -4.91   1.58],1.0,1.0,0.8080132628729151,0.9229142857621802,1.0
23,[-60.   -22.22 -12.53  -7.92   2.  ],0.39999999999999997,0.39999999999999997,0.8604362916159312,0.9789153523545284,1.0
24,[-60.   -21.77 -17.89 -10.44  -7.98   2.  ],0.3,0.3,0.8129193982263596,0.922035490382354,1.0
25,[-60. -46. -32. -18.  -4.  10.],0.19999999999999998,-0.19999999999999998,0.5401326414917191,0.848608629074326,1.0
26,[-60.   -30.7  -22.63 -14.56  -6.49   2.  ],0.3,-0.3,0.7277937016380324,0.9720081870855624,1.0
27,[-60.    -9.78  -7.4   -5.89  -4.58   2.  ],0.8999999999999998,0.8999999999999998,0.8240828293105069,0.8362324361729652,1.0
28,[-60.   -30.7  -22.63 -14.56  -6.49   1.58],0.3,-0.3,0.7258326970051926,0.9719762158885772,1.0
29,[-60.    -9.78  -7.4   -5.89  -4.58   1.58],0.8999999999999998,0.8999999999999998,0.8210643816811626,0.8361980034860685,1.0
30,[-60.   -18.91  -8.3   -6.48   2.  ],0.7999999999999999,0.7999999999999999,0.862079468920187,0.9627990045305536,1.0
31,[-60.   -23.32 -13.95  -9.69  -6.66   2.  ],0.3,0.3,0.8429079757537787,0.8643260032326143,1.0
32,[-60.   -24.16 -18.12  -9.86  -8.13  -6.61   2.  ],0.3714285714285715,0.3714285714285715,0.7331534363911509,0.8306063573598181,1.0
33,[-60.   -48.33 -36.67 -25.   -13.33  -1.67  10.  ],0.3,-0.3,0.3950183513129688,0.9361287772210762,1.0
34,[-60.   -32.04 -25.32 -18.59 -11.87  -5.14   2.  ],0.028571428571428574,0.028571428571428574,0.6158733996118126,0.9462808115244856,1.0
35,[-60.   -10.42  -8.04  -6.56  -5.47  -4.32   2.  ],0.8285714285714287,0.8285714285714287,0.7698497411110153,0.7672966902443829,1.0
