SibSp_ID,SibSp_bins,utility,raw_utility,l2_norm,KLDiv,gpt_semantics
0,[0. 1. 2. 3. 4. 5. 6. 7. 8.],0.8999999999999998,-0.8999999999999998,1.0,1.0,4.0
1,[ 0.  5. 10.],0.0,0.0,0.3764214771049055,0.6766978863687538,3.0
2,[0.  2.5 5. ],0.9999999999999999,-0.9999999999999999,0.4586762901137459,0.8413971164002721,1.0
3,[0. 3. 5.],0.9999999999999999,-0.9999999999999999,0.4564281250144915,0.7941575353667489,1.0
5,[0. 5.],0.0,0.0,0.4475269410765472,0.6766978863687538,1.0
6,[0.  3.5 5. ],0.9999999999999999,-0.9999999999999999,0.4535512176086367,0.7941575353667489,1.0
7,[0.   0.28 5.  ],0.9999999999999999,0.9999999999999999,0.460909703860173,0.3290087926793203,1.0
8,[0.  0.5 2.5 5. ],0.5,-0.5,0.4793464305578783,0.1634718712740442,1.0
9,[ 0.    3.33  6.67 10.  ],0.9999999999999999,-0.9999999999999999,0.3908683026635691,0.7941575353667489,1.0
10,[0.   1.67 3.33 5.  ],1.0,-1.0,0.4770470097942294,0.9662515392275044,2.0
13,[0. 1. 5.],0.9999999999999999,-0.9999999999999999,0.461580581346405,0.9281268193707456,1.0
14,[0.  0.5 3.5 5. ],0.5,-0.5,0.4766763947433525,0.2116642551912239,1.0
15,[0.   1.12 5.  ],0.9999999999999999,-0.9999999999999999,0.477643957679866,0.0718731806292544,1.0
16,[0.   0.5  1.83 3.17 5.  ],0.39999999999999997,-0.39999999999999997,0.5057042379042065,0.0337484607724957,1.0
17,[ 0.   2.5  5.   7.5 10. ],0.9999999999999999,-0.9999999999999999,0.4198402238575492,0.8413971164002721,2.0
18,[0.   1.25 2.5  3.75 5.  ],0.7999999999999999,-0.7999999999999999,0.5049020791605845,0.988504946375324,1.0
19,[0. 1. 3. 5.],1.0,-1.0,0.4786776395699869,0.9662515392275044,1.0
22,[0.  0.5 1.5 3.5 5. ],0.39999999999999997,-0.39999999999999997,0.505078051414531,0.0337484607724957,1.0
23,[0.   1.   2.32 5.  ],0.5,-0.5,0.5026810029423522,0.1634718712740442,1.0
24,[0.  0.5 1.5 2.5 3.5 5. ],0.7,-0.7,0.5427700431407876,0.011495053624676,1.0
25,[ 0.  2.  4.  6.  8. 10.],1.0,-1.0,0.4667828233343479,0.8550986744297209,2.0
26,[0. 1. 2. 3. 4. 5.],0.8999999999999998,-0.8999999999999998,0.5442966916660789,1.0,1.0
27,[0. 1. 3. 4. 5.],1.0,-1.0,0.503321134463743,0.9777465928521804,1.0
