Current Loan Amount_ID,Current Loan Amount_bins,utility,raw_utility,l2_norm,KLDiv,gpt_semantics
0,[0.e+00 1.e+05 5.e+05 1.e+06 1.e+08],0.19999999999999998,-0.19999999999999998,1.0,1.0,4.0
1,[0.e+00 5.e+07 1.e+08],0.9999999999999999,-0.9999999999999999,0.4632421012709673,0.8296752444170832,1.0
2,[       0.  50007710.5 99999999. ],0.9999999999999999,-0.9999999999999999,0.4632328797936468,0.8296752444170832,1.0
3,[       0.   329208. 99999999.],0.9999999999999999,-0.9999999999999999,0.4939657335474238,0.9537132251735122,1.0
6,[       0.   789140. 99999999.],0.9999999999999999,-0.9999999999999999,0.4939603636370113,0.8389632103493829,1.0
7,[       0.     315074.38 99999999.  ],0.9999999999999999,-0.9999999999999999,0.4939658133801624,0.9541684597425002,1.0
8,[       0.   787985.   788909. 99999999.],1.0,-1.0,0.4952354536752941,0.8389632103493829,1.0
9,[0.00000000e+00 3.33333333e+07 6.66666667e+07 1.00000000e+08],0.9999999999999999,-0.9999999999999999,0.4296287564009909,0.8296752444170832,1.0
10,[       0.   33343614.33 99999999.  ],0.9999999999999999,-0.9999999999999999,0.4801059274815847,0.8296752444170832,1.0
11,[       0.     224422.     455128.67 99999999.  ],0.5,-0.5,0.4952423273801484,0.8398163219158953,1.0
12,[       0.   33343614.33 66671806.67 99999999.  ],0.9999999999999999,-0.9999999999999999,0.4296133773028434,0.8296752444170832,1.0
14,[       0.   227854.   789140. 99999999.],0.5,-0.5,0.4952412764390821,0.9718815488194582,1.0
15,[       0.     207427.88   538662.76 99999999.  ],0.5,-0.5,0.4952423842097806,0.8946238867566406,1.0
16,[       0.   136455.   207955.   227249. 99999999.],0.19999999999999998,-0.19999999999999998,0.9970338569701266,0.8922535710086429,1.0
17,[0.0e+00 2.5e+07 5.0e+07 7.5e+07 1.0e+08],0.9999999999999999,-0.9999999999999999,0.6683902981266179,0.8296752444170832,2.0
18,[       0.   25011566.25 99999999.  ],0.9999999999999999,-0.9999999999999999,0.4861370766472865,0.8296752444170832,1.0
19,[       0.    195563.5   329208.    580657.  99999999. ],0.19999999999999998,-0.19999999999999998,0.9983400344683564,0.7726121232240593,1.0
20,[       0.   25011566.25 50007710.5  75003854.75 99999999.  ],0.9999999999999999,-0.9999999999999999,0.6683532435745889,0.8296752444170832,1.0
