Age_ID,Age_bins,utility,l2_norm,KLDiv,gpt_semantics
0,[  0.  18.  35.  50.  65. 100.],0.9432462045189746,1.0,1.0,4.0
1,[  0.  50. 100.],0.7127152404970725,0.4760496094156302,0.4505810444232676,2.0
2,[ 0.   40.21 80.  ],0.7315959233442948,0.5096849722928304,0.5843856044864331,1.0
3,[ 0. 28. 80.],0.11723510883881916,0.5147212373414823,0.6893574428557342,1.0
4,[ 0.  5. 80.],0.9999706632162431,0.5138338726596178,0.4352627339581383,1.0
7,[ 0.   6.5 80. ],0.9999825121183089,0.5143062890148666,0.4528157459962397,1.0
8,[ 0.   20.85 44.6 ],0.8402914373418192,0.5415233478446261,0.8830968759115493,1.0
9,[ 0.    0.96  8.   80.  ],0.9999617970294531,0.5508969065762765,0.5132446350498099,1.0
10,[  0.    33.33  66.67 100.  ],0.6395041537588604,0.5262778407812898,0.681139045879608,2.0
11,[ 0.   26.95 53.47 80.  ],0.5761262051648318,0.5592938227560946,0.804089418434,1.0
12,[ 0. 23. 34. 80.],0.11606111951072373,0.5649328854840592,0.9233071872306684,1.0
13,[ 0.  5. 74. 80.],0.9999267908687611,0.54166392197235,0.4471220597292848,1.0
16,[ 0.   6.5 63.5 80. ],0.9999931912585617,0.5519393646872159,0.507139126262488,1.0
17,[ 0.   14.65 30.76 51.64],0.9977465845310944,0.5779649319139915,0.9744852755805368,1.0
18,[ 0.    0.96 11.67 31.25 80.  ],0.9984378622857965,0.622423919231133,0.9004370139528319,1.0
19,[  0.  25.  50.  75. 100.],0.5992143991639689,0.6108127785773604,0.8236326755769825,4.0
20,[ 0.   20.32 40.21 60.1  80.  ],0.8398864145838209,0.6402445328044304,0.9363237334623342,1.0
21,[ 0.   20.12 28.   38.   80.  ],0.824711984621132,0.6391540080504542,0.9094595499661676,1.0
22,[ 0.  5. 63. 74. 80.],0.9999934347343483,0.6167973960548007,0.4923596274100504,1.0
25,[ 0.   6.5 63.5 77.  80. ],0.9999958551961586,0.6144491048136815,0.5093076519775573,1.0
26,[ 0.    5.   21.32 34.02 53.  ],0.9996535606517586,0.6334361447094035,0.8803589876583724,1.0
27,[ 0.    0.91 11.12 26.   52.12 80.  ],0.9972168597612441,0.8417842826271955,0.9925077959990022,1.0
28,[  0.  20.  40.  60.  80. 100.],0.8398864145838209,0.933497612164474,0.9363237334623342,3.0
29,[ 0.   16.34 32.25 48.17 64.08 80.  ],0.9958967555448968,0.9280375252563822,0.9463031257740608,1.0
30,[ 0.  19.  25.  31.8 41.  80. ],0.9286485864246062,0.8673601731304643,0.7843957935419574,1.0
31,[ 0.  1.  5. 63. 74. 80.],0.999991436978303,0.848425385288643,0.5179983489166955,1.0
34,[ 0.   6.5 62.5 63.5 77.  80. ],0.9999967902816758,0.857967328771979,0.5265391283044846,1.0
35,[ 0.    4.77 20.84 31.83 44.74 60.57],0.9912118100815527,0.817332093041098,0.8046779541159556,1.0
36,[ 0.    0.91 11.5  25.5  36.5  54.5  80.  ],0.9953443555044037,0.633922810822056,0.8142771575248258,1.0
37,[  0.    16.67  33.33  50.    66.67  83.33 100.  ],0.9878615439265801,0.6415404937525044,0.979614786469755,1.0
38,[ 0.   13.68 26.95 40.21 53.47 66.74 80.  ],0.9934966547402229,0.6874633538852453,0.828728722350156,1.0
39,[ 0. 18. 23. 28. 34. 44. 80.],0.9382976466995172,0.6271916609458924,0.6790241284649763,2.0
40,[ 0.  1.  2.  5. 63. 74. 80.],0.9999990377602607,0.6381084844983868,0.5335269223669172,1.0
43,[ 0.    0.96  6.5  62.5  63.5  77.   80.  ],0.9999976458068972,0.6801248385212864,0.5532306448269414,1.0
44,[ 0.    4.66 19.16 27.32 36.42 48.24 62.35],0.9905659433620504,0.677464086817239,0.7033709896162975,1.0
45,[ 0.    0.91  8.83 21.83 31.12 41.08 55.67 80.  ],0.9994141995248887,0.5544850378895065,0.7099432728110198,1.0
46,[  0.    14.29  28.57  42.86  57.14  71.43  85.71 100.  ],0.9910539958299491,0.5214466295347251,0.8523769393966902,1.0
47,[ 0.   11.79 23.16 34.53 45.89 57.26 68.63 80.  ],0.9391742157017912,0.585988518128925,0.7435106880624809,1.0
48,[ 0.   17.   21.71 26.   30.   36.   45.5  80.  ],0.992726590835598,0.5737258427507319,0.5943152734915487,1.0
49,[ 0.  1.  2.  5. 47. 63. 74. 80.],0.9999990584353857,0.5395291739533351,0.7147972444420996,1.0
52,[ 0.    0.96  2.5   6.5  62.5  63.5  77.   80.  ],0.9999989371125638,0.5404204610162825,0.5811275385859,1.0
53,[ 0.    4.66 18.18 24.33 30.65 38.28 48.55 62.35],0.9938806421133645,0.607135892134025,0.5896905873911846,1.0
54,[ 0.    0.91  7.79 16.64 26.21 36.32 46.32 57.93 80.  ],0.9995468206157169,0.5050868452577624,0.6465528290199059,1.0
55,[  0.   12.5  25.   37.5  50.   62.5  75.   87.5 100. ],0.9883238664376647,0.4389168046480616,0.7981592836332028,2.0
56,[ 0.   10.37 20.32 30.26 40.21 50.16 60.1  70.05 80.  ],0.9681619496776395,0.5168871883879596,0.6781139548876638,1.0
57,[ 0.   16.   20.12 24.   28.   32.31 38.   47.   80.  ],0.9576275753757975,0.5404399064336409,0.5148280572973873,1.0
58,[ 0.  1.  2.  5. 45. 47. 63. 74. 80.],0.9999998214917645,0.4703225575939131,0.780905257847492,1.0
61,[ 0.    0.96  1.5   2.5   6.5  62.5  63.5  77.   80.  ],0.999999249215833,0.442719248505161,0.5905416062165657,1.0
62,[ 0.    4.27 17.32 23.39 29.43 35.2  42.01 50.87 63.65],0.991315526056391,0.5659748686467088,0.5154542766174803,1.0
63,[ 0.    0.88  7.44 16.25 24.06 32.   41.09 51.88 59.06 80.  ],0.9969527902079247,0.4667613322250433,0.5635838375664253,1.0
64,[  0.    11.11  22.22  33.33  44.44  55.56  66.67  77.78  88.89 100.  ],0.9702708894298666,0.3748578952474337,0.7287792052143086,1.0
