Fare_ID,Fare_bins,utility,raw_utility,l2_norm,KLDiv,gpt_semantics
0,[  0.  10.  20.  30.  40.  50. 100. 600.],0.6785714285714287,0.6785714285714287,1.0,1.0,4.0
1,[  0. 300. 600.],0.9999999999999999,0.9999999999999999,0.4508084356004883,0.1475924551281823,1.0
2,[  0.   256.17 513.  ],0.9999999999999999,0.9999999999999999,0.4927460016391388,0.6564589349407979,1.0
3,[  0.    15.74 513.  ],0.9999999999999999,0.9999999999999999,0.5159092284546674,0.007085572277357,1.0
4,[  0.  52. 513.],0.9999999999999999,0.9999999999999999,0.5152318187283125,0.4250579628119794,1.0
5,[  0.   256.16 512.33],0.9999999999999999,0.9999999999999999,0.4929931522319293,0.6564589349407979,1.0
6,[  0.    15.74 512.33],0.9999999999999999,0.9999999999999999,0.5161681353136318,0.007085572277357,1.0
7,[  0.    52.28 513.  ],0.9999999999999999,0.9999999999999999,0.5152226863302443,0.4250579628119794,1.0
8,[  0.    25.42 513.  ],0.9999999999999999,0.9999999999999999,0.5158290844723754,0.0972268807490885,1.0
9,[  0.     9.29  33.29 513.  ],1.0,1.0,0.5200450000074429,0.3760121793557043,1.0
10,[  0. 200. 400. 600.],1.0,1.0,0.4225402908948448,0.6169084374896203,1.0
11,[  0.   170.78 341.55 513.  ],1.0,1.0,0.4715185829700618,0.6278560421845159,1.0
12,[  0.    10.46  26.55 513.  ],1.0,1.0,0.520097910481949,0.2335738472408279,1.0
13,[  0.    10.52  52.   513.  ],1.0,1.0,0.5197104873973565,0.5093223661940642,1.0
14,[  0.   170.78 341.55 512.33],1.0,1.0,0.4717509164440487,0.6278560421845159,1.0
15,[  0.    10.46  26.55 512.33],1.0,1.0,0.5203537742972861,0.2335738472408279,1.0
16,[  0.    10.48  52.28 513.  ],1.0,1.0,0.5197034712294579,0.5093223661940642,1.0
17,[  0.    16.38  85.57 513.  ],1.0,1.0,0.5184033429759661,0.7663005365146676,1.0
18,[  0.     7.91  11.75  48.2  513.  ],1.0,1.0,0.5243830969504317,0.5448677578846308,1.0
19,[  0. 150. 300. 450. 600.],1.0,1.0,0.3965344946778283,0.6352310596574917,1.0
20,[  0.   128.08 256.17 384.25 513.  ],0.7999999999999999,0.7999999999999999,0.4522126530990021,0.9124876448782068,1.0
21,[  0.     8.05  15.74  33.38 513.  ],1.0,1.0,0.5245307336960454,0.4175907506660724,1.0
22,[  0.    10.52  52.    73.5  513.  ],1.0,1.0,0.52338256740492,0.6963930766173521,1.0
23,[  0.   128.08 256.16 384.25 512.33],0.7999999999999999,0.7999999999999999,0.4524322155579742,0.9124876448782068,1.0
24,[  0.     8.05  15.74  33.38 512.33],1.0,1.0,0.5247836314528116,0.4175907506660724,1.0
25,[  0.    10.48  39.64  52.28 513.  ],0.7999999999999999,0.7999999999999999,0.5241923294078765,0.5313688961183545,1.0
26,[  0.    15.77  76.4  205.71 513.  ],1.0,1.0,0.5111415328229167,0.8770529941907415,1.0
27,[  0.     7.13  12.72  27.78  52.02 513.  ],0.8999999999999998,0.8999999999999998,0.5292117966663372,0.6188549938212873,1.0
28,[  0. 120. 240. 360. 480. 600.],0.7999999999999999,0.7999999999999999,0.3734166974207739,0.8807632852104291,2.0
29,[  0.   102.47 204.93 307.4  513.  ],0.9486832980505139,0.9486832980505139,0.4789989743816665,0.8075818998863298,1.0
30,[  0.     7.91  13.    26.    46.9  513.  ],0.8999999999999998,0.8999999999999998,0.5292494787084105,0.5656937037564751,1.0
31,[  0.    10.52  52.    71.28  73.5  513.  ],0.39999999999999997,0.39999999999999997,0.527748228436108,0.6932249782061992,1.0
32,[  0.   102.47 204.93 307.4  409.86 512.33],0.9486832980505139,0.9486832980505139,0.4355739446027482,0.8075818998863298,1.0
33,[  0.     7.91  13.    26.    46.9  512.33],0.8999999999999998,0.8999999999999998,0.5294995088292979,0.5656937037564751,1.0
34,[  0.    10.48  38.75  39.64  52.28 513.  ],0.49999999999999994,0.49999999999999994,0.529056800730072,0.5360356219755291,1.0
35,[  0.    15.63  66.99 131.18 239.99 513.  ],0.8999999999999998,0.8999999999999998,0.508616965312719,0.6585510830087609,1.0
36,[  0.     7.13  11.32  20.55  30.85  50.99 513.  ],0.8285714285714287,0.8285714285714287,0.5513784538287572,0.6185595312118161,1.0
