song_duration_ms_ID,danceability_ID,loudness_ID,tempo_ID,song_duration_ms_bins,danceability_bins,loudness_bins,tempo_bins,utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
0,0,0,0,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.  0.3 0.5 0.7 0.9 1. ],[-60. -20. -10.  -5.   0.  10.],[  0.  60.  90. 120. 150. 250.],0.2795327847093177,1.0,1.0,4.0,1,1
0,0,28,0,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.  0.3 0.5 0.7 0.9 1. ],[-60.   -30.7  -22.63 -14.56  -6.49   1.58],[  0.  60.  90. 120. 150. 250.],0.2869657552428988,0.9314581742512982,0.9929940539721442,3.25,1,1
0,0,36,0,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.  0.3 0.5 0.7 0.9 1. ],[-60.   -32.04 -25.32 -18.59 -11.87  -5.14   1.58],[  0.  60.  90. 120. 150. 250.],0.2882930714096097,0.9040465910466948,0.9865621993788554,3.25,1,1
0,24,0,0,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.   0.12 0.26 0.53 0.68 1.  ],[-60. -20. -10.  -5.   0.  10.],[  0.  60.  90. 120. 150. 250.],0.2811255641093708,0.9713826955910052,0.9994900664039268,3.25,1,1
0,24,0,21,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.   0.12 0.26 0.53 0.68 1.  ],[-60. -20. -10.  -5.   0.  10.],[  0.    98.37 120.01 139.93 242.32],0.281391027342713,0.9417914608924696,0.9985480362964256,2.5,1,1
0,24,16,0,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.   0.12 0.26 0.53 0.68 1.  ],[-60.   -20.81 -12.71  -8.13   2.  ],[  0.  60.  90. 120. 150. 250.],0.2824528802760818,0.9367832702502258,0.9940839580343804,2.5,1,1
0,24,16,21,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.   0.12 0.26 0.53 0.68 1.  ],[-60.   -20.81 -12.71  -8.13   2.  ],[  0.    98.37 120.01 139.93 242.32],0.2827183435094239,0.90719203555169,0.9931419279268792,1.75,1,1
0,30,39,28,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.   0.2  0.26 0.49 0.73 1.  ],[-60.   -24.45 -15.53 -11.37  -8.34  -5.95   2.  ],[  0.    48.46  96.93 145.39 193.85 242.32],0.2967878948765596,0.9039690065843076,0.9299209523949328,1.75,1,1
11,24,16,0,[      0.  194000.  230373. 1799346.],[0.   0.12 0.26 0.53 0.68 1.  ],[-60.   -20.81 -12.71  -8.13   2.  ],[  0.  60.  90. 120. 150. 250.],0.2930714096097691,0.8151340194472769,0.9848457172404236,1.75,1,1
11,24,16,21,[      0.  194000.  230373. 1799346.],[0.   0.12 0.26 0.53 0.68 1.  ],[-60.   -20.81 -12.71  -8.13   2.  ],[  0.    98.37 120.01 139.93 242.32],0.2933368728431112,0.7855427847487411,0.9839036871329222,1.0,1,1
11,24,16,33,[      0.  194000.  230373. 1799346.],[0.   0.12 0.26 0.53 0.68 1.  ],[-60.   -20.81 -12.71  -8.13   2.  ],[  0.    41.67  83.33 125.   166.67 208.33 250.  ],0.2936023360764534,0.7873788641739148,0.9722197896980947,1.0,1,1
11,30,18,27,[      0.  194000.  230373. 1799346.],[0.   0.2  0.26 0.49 0.73 1.  ],[-60.   -28.68 -18.59  -8.5    2.  ],[  0.    95.01 111.05 126.06 144.94 243.  ],0.2954605787098487,0.7965839009069473,0.9434710292294716,1.0,1,1
