passenger_count_ID,trip_distance_ID,duration_ID,passenger_count_bins,trip_distance_bins,duration_bins,utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
0,0,0,[0. 1. 2. 6.],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.  3.  8. 15. 25. 30.],0.7325841991979732,1.0,1.0,4.0,1,1
0,0,26,[0. 1. 2. 6.],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.    6.   11.99 17.98 23.96 30.  ],0.7443383042897425,0.9903382456604644,0.9731448110212174,3.0,1,1
0,0,30,[0. 1. 2. 6.],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.    7.49 11.93 17.38 23.11 30.  ],0.7948329742080608,0.9890495927476718,0.967342041463756,3.0,1,1
0,26,30,[0. 1. 2. 6.],[0.   1.05 2.1  3.14 4.19 6.  ],[ 0.    7.49 11.93 17.38 23.11 30.  ],0.8069071563549791,0.9523455551673302,0.9238278939604708,2.0,1,1
0,26,38,[0. 1. 2. 6.],[0.   1.05 2.1  3.14 4.19 6.  ],[ 0.    6.49  7.49 11.93 17.38 23.11 30.  ],0.8153729282258265,0.9108523875207224,0.9135784902149152,2.0,1,1
0,26,62,[0. 1. 2. 6.],[0.   1.05 2.1  3.14 4.19 6.  ],[ 0.    6.49  7.49  8.22 10.53 11.93 15.32 17.38 23.11 30.  ],0.825326082197681,0.8804323870364422,0.8747164825147813,2.0,1,1
0,31,30,[0. 1. 2. 6.],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.    7.49 11.93 17.38 23.11 30.  ],0.8152108189594478,0.9493479564614858,0.9143242753609808,2.0,1,1
0,36,62,[0. 1. 2. 6.],[0.   0.88 1.75 2.62 3.49 4.36 5.23],[ 0.    6.49  7.49  8.22 10.53 11.93 15.32 17.38 23.11 30.  ],0.8265442682541542,0.8478623154713306,0.8534456618065992,2.0,1,1
0,44,30,[0. 1. 2. 6.],[0.   0.76 1.5  2.25 2.99 3.74 4.48 5.23],[ 0.    7.49 11.93 17.38 23.11 30.  ],0.8207379166474383,0.904832517628634,0.8845208492985126,2.0,1,1
0,53,62,[0. 1. 2. 6.],[0.   0.7  0.97 1.21 1.5  1.83 2.3  3.04 5.23],[ 0.    6.49  7.49  8.22 10.53 11.93 15.32 17.38 23.11 30.  ],0.8367370362876269,0.818843332125876,0.8071707695900625,2.0,1,1
0,60,46,[0. 1. 2. 6.],[0.   0.59 1.17 1.75 2.33 2.91 3.49 4.07 4.65 5.23],[ 0.    6.49  7.49 10.53 11.93 17.38 23.11 30.  ],0.8354898598878961,0.8275793573029828,0.8344372708564632,2.0,1,1
0,60,56,[0. 1. 2. 6.],[0.   0.59 1.17 1.75 2.33 2.91 3.49 4.07 4.65 5.23],[ 0.    6.46  7.5  10.6  12.   15.24 15.87 17.37 23.14 30.  ],0.8373748238392917,0.8166637215029363,0.8152766830393429,2.0,1,1
0,60,62,[0. 1. 2. 6.],[0.   0.59 1.17 1.75 2.33 2.91 3.49 4.07 4.65 5.23],[ 0.    6.49  7.49  8.22 10.53 11.93 15.32 17.38 23.11 30.  ],0.8427912849111772,0.8140654756525034,0.8109996897398482,2.0,1,1
0,63,37,[0. 1. 2. 6.],[0.   0.5  0.87 1.25 1.65 2.09 2.58 3.17 3.9  6.  ],[ 0.    5.63  8.12 10.65 13.68 18.08 29.95],0.8317234818230548,0.8373141787939429,0.8242406883216398,2.0,1,1
