BMI_ID,Glucose_ID,Age_ID,BMI_bins,Glucose_bins,Age_bins,utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
0,0,0,[ 0.  18.5 25.  30.  68. ],[  0. 140. 200.],[  0.  18.  35.  45.  65. 100.],0.0710751237067026,1.0,1.0,4.0,1,1
0,0,29,[ 0.  18.5 25.  30.  68. ],[  0. 140. 200.],[ 0.  28.8 36.6 44.4 52.2 60. ],0.1142600089968511,0.9487647207977888,0.8970279440825228,3.0,1,1
0,4,0,[ 0.  18.5 25.  30.  68. ],[  0. 157. 199.],[  0.  18.  35.  45.  65. 100.],0.078272604588394,0.9915016575858514,0.9887776145513792,3.0,1,1
0,4,29,[ 0.  18.5 25.  30.  68. ],[  0. 157. 199.],[ 0.  28.8 36.6 44.4 52.2 60. ],0.1210076473234367,0.9402663783836402,0.8858055586339021,2.0,1,1
0,4,163,[ 0.  18.5 25.  30.  68. ],[  0. 157. 199.],[ 0.  21.5 22.5 29.5 46.5 60. ],0.1214574898785425,0.9342584265986864,0.9065056080721464,2.0,1,1
1,0,1,[ 0. 34. 68.],[  0. 140. 200.],[  0.  50. 100.],0.2028789923526766,0.6751602769244656,0.898793326307247,2.6666666666666665,1,1
1,0,2,[ 0. 34. 68.],[  0. 140. 200.],[ 0.  40.5 60. ],0.1938821412505623,0.6926180871989888,0.9321657674675018,2.333333333333333,1,1
1,0,29,[ 0. 34. 68.],[  0. 140. 200.],[ 0.  28.8 36.6 44.4 52.2 60. ],0.1745389113810166,0.7970289381571242,0.8748859345308316,2.333333333333333,1,1
1,4,1,[ 0. 34. 68.],[  0. 157. 199.],[  0.  50. 100.],0.2096266306792622,0.666661934510317,0.8875709408586262,1.6666666666666667,1,1
1,4,2,[ 0. 34. 68.],[  0. 157. 199.],[ 0.  40.5 60. ],0.2019793072424651,0.6841197447848401,0.9209433820188808,1.3333333333333333,1,1
1,4,11,[ 0. 34. 68.],[  0. 157. 199.],[ 0. 34. 47. 60.],0.1920827710301394,0.6958989201792778,0.9584549484482326,1.3333333333333333,1,1
1,4,20,[ 0. 34. 68.],[  0. 157. 199.],[ 0.   30.75 40.5  50.25 60.  ],0.1871345029239766,0.720267567605006,0.8999600501171229,1.3333333333333333,1,1
1,4,29,[ 0. 34. 68.],[  0. 157. 199.],[ 0.  28.8 36.6 44.4 52.2 60. ],0.181736392262708,0.7885305957429756,0.8636635490822107,1.3333333333333333,1,1
1,4,163,[ 0. 34. 68.],[  0. 157. 199.],[ 0.  21.5 22.5 29.5 46.5 60. ],0.1821862348178137,0.7825226439580217,0.8843635985204553,1.3333333333333333,1,1
2,4,1,[ 0.   33.55 67.1 ],[  0. 157. 199.],[  0.  50. 100.],0.2069275753486279,0.667564856180704,0.8992486492737948,1.3333333333333333,1,1
2,4,2,[ 0.   33.55 67.1 ],[  0. 157. 199.],[ 0.  40.5 60. ],0.2001799370220423,0.6850226664552271,0.9326210904340496,1.0,1,1
2,4,11,[ 0.   33.55 67.1 ],[  0. 157. 199.],[ 0. 34. 47. 60.],0.1907332433648223,0.6968018418496649,0.9701326568634014,1.0,1,1
2,4,20,[ 0.   33.55 67.1 ],[  0. 157. 199.],[ 0.   30.75 40.5  50.25 60.  ],0.1853351327035537,0.7211704892753931,0.9116377585322916,1.0,1,1
2,4,29,[ 0.   33.55 67.1 ],[  0. 157. 199.],[ 0.  28.8 36.6 44.4 52.2 60. ],0.1799370220422852,0.7894335174133627,0.8753412574973795,1.0,1,1
21,0,0,[ 0.  27.4 32.3 36.7 67.1],[  0. 140. 200.],[  0.  18.  35.  45.  65. 100.],0.0958164642375168,0.9767856347456604,0.932313985833222,3.0,1,1
21,0,1,[ 0.  27.4 32.3 36.7 67.1],[  0. 140. 200.],[  0.  50. 100.],0.1677912730544309,0.8036816943107906,0.8532493216921601,2.333333333333333,1,1
21,0,2,[ 0.  27.4 32.3 36.7 67.1],[  0. 140. 200.],[ 0.  40.5 60. ],0.1578947368421052,0.8211395045853137,0.8866217628524149,2.0,1,1
21,0,29,[ 0.  27.4 32.3 36.7 67.1],[  0. 140. 200.],[ 0.  28.8 36.6 44.4 52.2 60. ],0.1390013495276653,0.9255503555434492,0.8293419299157447,2.0,1,1
21,4,0,[ 0.  27.4 32.3 36.7 67.1],[  0. 157. 199.],[  0.  18.  35.  45.  65. 100.],0.1030139451192082,0.9682872923315116,0.9210916003846013,2.0,1,1
21,4,1,[ 0.  27.4 32.3 36.7 67.1],[  0. 157. 199.],[  0.  50. 100.],0.1749887539361223,0.7951833518966418,0.8420269362435393,1.3333333333333333,1,1
21,4,2,[ 0.  27.4 32.3 36.7 67.1],[  0. 157. 199.],[ 0.  40.5 60. ],0.1659919028340081,0.812641162171165,0.8753993774037941,1.0,1,1
21,4,11,[ 0.  27.4 32.3 36.7 67.1],[  0. 157. 199.],[ 0. 34. 47. 60.],0.1574448942869995,0.8244203375656026,0.912910943833146,1.0,1,1
21,4,20,[ 0.  27.4 32.3 36.7 67.1],[  0. 157. 199.],[ 0.   30.75 40.5  50.25 60.  ],0.1511470985155195,0.8487889849913307,0.854416045502036,1.0,1,1
21,4,29,[ 0.  27.4 32.3 36.7 67.1],[  0. 157. 199.],[ 0.  28.8 36.6 44.4 52.2 60. ],0.145748987854251,0.9170520131293006,0.818119544467124,1.0,1,1
21,4,163,[ 0.  27.4 32.3 36.7 67.1],[  0. 157. 199.],[ 0.  21.5 22.5 29.5 46.5 60. ],0.1461988304093567,0.9110440613443466,0.8388195939053684,1.0,1,1
22,0,0,[ 0.  26.3 32.8 32.9 67.1],[  0. 140. 200.],[  0.  18.  35.  45.  65. 100.],0.0922177237966711,0.9801036795751138,0.9864879237253912,3.0,1,1
22,0,2,[ 0.  26.3 32.8 32.9 67.1],[  0. 140. 200.],[ 0.  40.5 60. ],0.1547458389563653,0.8244575494147672,0.9407957007445842,2.0,1,1
22,0,29,[ 0.  26.3 32.8 32.9 67.1],[  0. 140. 200.],[ 0.  28.8 36.6 44.4 52.2 60. ],0.1354026090868196,0.9288684003729027,0.883515867807914,2.0,1,1
22,4,0,[ 0.  26.3 32.8 32.9 67.1],[  0. 157. 199.],[  0.  18.  35.  45.  65. 100.],0.0998650472334682,0.9716053371609652,0.9752655382767704,2.0,1,1
22,4,1,[ 0.  26.3 32.8 32.9 67.1],[  0. 157. 199.],[  0.  50. 100.],0.1727395411605937,0.7985013967260954,0.8962008741357086,1.3333333333333333,1,1
22,4,2,[ 0.  26.3 32.8 32.9 67.1],[  0. 157. 199.],[ 0.  40.5 60. ],0.1628430049482681,0.8159592070006186,0.9295733152959634,1.0,1,1
22,4,11,[ 0.  26.3 32.8 32.9 67.1],[  0. 157. 199.],[ 0. 34. 47. 60.],0.1542959964012595,0.8277383823950563,0.9670848817253151,1.0,1,1
22,4,20,[ 0.  26.3 32.8 32.9 67.1],[  0. 157. 199.],[ 0.   30.75 40.5  50.25 60.  ],0.1479982006297795,0.8521070298207846,0.9085899833942052,1.0,1,1
22,4,29,[ 0.  26.3 32.8 32.9 67.1],[  0. 157. 199.],[ 0.  28.8 36.6 44.4 52.2 60. ],0.1430499325236167,0.920370057958754,0.8722934823592933,1.0,1,1
