passenger_count_ID,trip_distance_ID,duration_ID,passenger_count_bins,trip_distance_bins,duration_bins,utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
14,0,0,[0.   1.5  1.83 2.17 5.  ],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.  3.  8. 15. 25. 30.],0.3472560738713389,0.8290629920445577,1.0,3.0,1,1
14,0,9,[0.   1.5  1.83 2.17 5.  ],[ 0.   0.5  1.5  3.   5.  10. ],[ 0. 10. 20. 30.],0.3479683291346639,0.7569474265959766,0.9825556861538844,2.333333333333333,1,1
14,0,10,[0.   1.5  1.83 2.17 5.  ],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.    9.99 19.97 30.  ],0.3479666331009767,0.7569614424285724,0.9827388042912636,2.0,1,1
14,0,11,[0.   1.5  1.83 2.17 5.  ],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.    8.12 13.68 30.  ],0.3477564826943428,0.7594885889073685,0.983866866300754,2.0,1,1
14,0,17,[0.   1.5  1.83 2.17 5.  ],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.   7.5 15.  22.5 30. ],0.3476857225912082,0.7760367754813885,0.995034747324704,2.0,1,1
14,31,0,[0.   1.5  1.83 2.17 5.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.  3.  8. 15. 25. 30.],0.3576643170683702,0.7893613557583717,0.9469822338972248,2.0,1,1
14,31,1,[0.   1.5  1.83 2.17 5.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0. 15. 30.],0.3588199076489937,0.70958052800523,0.8898848796966211,1.3333333333333333,1,1
14,31,2,[0.   1.5  1.83 2.17 5.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.   14.98 30.  ],0.3588178566315114,0.7095873675585108,0.8902713259925523,1.0,1,1
14,31,3,[0.   1.5  1.83 2.17 5.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.   10.65 30.  ],0.3584430331866461,0.7110275158326127,0.8912961509329048,1.0,1,1
14,31,9,[0.   1.5  1.83 2.17 5.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0. 10. 20. 30.],0.3583765723316953,0.7172457903097905,0.929537920051109,1.3333333333333333,1,1
14,31,10,[0.   1.5  1.83 2.17 5.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.    9.99 19.97 30.  ],0.3583748762980081,0.7172598061423866,0.9297210381884884,1.0,1,1
