age_ID,educ_ID,age_bins,educ_bins,utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
0,0,[  0.  18.  35.  50.  65. 100.],[ 0. 11. 12. 15. 16.],1.135736694433886e-59,1.0,1.0,4.0,1,1
0,15,[  0.  18.  35.  50.  65. 100.],[ 3.  9. 10. 11. 16.],1.5275567274169698e-10,0.9420347037977544,0.8468663646643956,2.5,1,1
0,21,[  0.  18.  35.  50.  65. 100.],[ 3.  9. 10. 11. 12. 16.],2.594808859221435e-08,0.8237776415861247,0.8411427595385923,2.5,1,1
0,24,[  0.  18.  35.  50.  65. 100.],[ 3.    4.88  8.51 10.   11.   16.  ],0.0001080242463606,0.8072998027179229,0.7111986891158733,2.5,1,1
0,88,[  0.  18.  35.  50.  65. 100.],[ 3.    7.67  8.    9.   10.   11.   12.   16.  ],0.2164364927845262,0.7469101273378183,0.663274545523416,2.5,1,1
0,93,[  0.  18.  35.  50.  65. 100.],[ 3.    7.    8.    9.   10.   10.68 11.   12.   16.  ],0.4125472186956661,0.7240018868439928,0.663274545523416,2.5,1,1
19,15,[17.  24.6 32.2 39.8 47.4 55. ],[ 3.  9. 10. 11. 16.],0.0218063502151955,0.8018691711838868,0.6837295809879367,1.0,1,1
19,25,[17.  24.6 32.2 39.8 47.4 55. ],[ 3.    5.17  7.33  9.5  11.67 13.83 16.  ],0.5744491287154277,0.6207960135326717,0.4868363575734035,1.0,1,1
24,15,[17.   18.7  24.01 28.76 35.75 55.  ],[ 3.  9. 10. 11. 16.],0.0235339741991522,0.7793875571126256,0.6343816937485334,1.0,1,1
43,93,[17.   21.22 25.44 29.67 33.89 38.11 42.33 46.56 50.78 55.  ],[ 3.    7.    8.    9.   10.   10.68 11.   12.   16.  ],0.9147637992580284,0.3965818974856763,0.3711012696147712,1.0,1,1
107,88,[17.  17.5 29.5 34.5 47.  55. ],[ 3.    7.67  8.    9.   10.   11.   12.   16.  ],0.6486772973534386,0.6035149553386321,0.5273502955459511,1.0,1,1
