age_ID,educ_ID,age_bins,educ_bins,utility,l2_norm,KLDiv,gpt_semantics
0,0,[  0.  18.  35.  50.  65. 100.],[ 0. 11. 12. 15. 16.],1.135736694433886e-59,1.0,1.0,4.0
0,1,[  0.  18.  35.  50.  65. 100.],[ 3.   9.5 16. ],2.249775921106481e-50,0.7725165620208732,0.8921810329279789,2.5
0,3,[  0.  18.  35.  50.  65. 100.],[ 3. 10. 16.],9.309330770868624e-19,0.7727964728417633,0.9473589652286714,2.5
0,6,[  0.  18.  35.  50.  65. 100.],[ 3.    8.07 16.  ],7.274307205173932e-57,0.7711008889947072,0.843159139969204,2.5
0,7,[  0.  18.  35.  50.  65. 100.],[ 3.    7.33 11.67 16.  ],3.1544709681271395e-24,0.8312883187932436,0.7712745323430672,2.5
0,9,[  0.  18.  35.  50.  65. 100.],[ 3. 10. 11. 16.],1.4380153299386462e-12,0.8348120032332148,0.9312134944288616,2.5
0,12,[  0.  18.  35.  50.  65. 100.],[ 3.    5.64  9.3  16.  ],1.1789891161571372e-54,0.824643010103282,0.7561448132962013,2.5
0,13,[  0.  18.  35.  50.  65. 100.],[ 3.    6.25  9.5  12.75 16.  ],1.9964677835956487e-34,0.9339286537376064,0.7269336362278227,2.5
0,15,[  0.  18.  35.  50.  65. 100.],[ 3.  9. 10. 11. 16.],1.5275567274169698e-10,0.9420347037977544,0.8468663646643956,2.5
0,18,[  0.  18.  35.  50.  65. 100.],[ 3.    4.88  8.51 10.53 16.  ],1.2497912798037163e-26,0.9104809719910346,0.7111986891158733,2.5
0,19,[  0.  18.  35.  50.  65. 100.],[ 3.   5.6  8.2 10.8 13.4 16. ],2.025674178265581e-15,0.8158663312641495,0.690867759083093,2.5
0,21,[  0.  18.  35.  50.  65. 100.],[ 3.  9. 10. 11. 12. 16.],2.594808859221435e-08,0.8237776415861247,0.8411427595385923,2.5
0,24,[  0.  18.  35.  50.  65. 100.],[ 3.    4.88  8.51 10.   11.   16.  ],0.0001080242463606,0.8072998027179229,0.7111986891158733,2.5
0,25,[  0.  18.  35.  50.  65. 100.],[ 3.    5.17  7.33  9.5  11.67 13.83 16.  ],2.6375061252951032e-09,0.7609615461465392,0.6499731412498624,2.5
